,name_lens,lens_link,number_of_works,collaboration_ratio,lens_h_index,scholar_article_cites,patent_cites,associated_fields,current_place_of_work
110,Huang Xu,https://www.lens.org/lens/orcid/0000-0003-4245-9533/scholar,2,100%,2,87,2,"['Semimetal , Terahertz radiation , Angle-resolved photoemission spectroscopy , Band gap , Condensed matter physics , Dark current , Dirac (software) , Dirac fermion , Doping , Fermi level']",
111,Fabian Muehlberg,https://www.lens.org/lens/orcid/0000-0002-7981-5178/scholar,14,55%,10,786,9,"['Medicine , Stem cell , Biology , Cancer cell , Cancer stem cell , Internal medicine , Pathology , Adipose tissue , Breast cancer , Cancer research']",Charite Universitatsmedizin Berlin Campus Buch
112,Michael Michael,https://www.lens.org/lens/orcid/0000-0002-7642-1261/scholar,28,77%,12,553,0,"['Economics , Indirect tax , International economics , Ad valorem tax , Tax reform , Value-added tax , Welfare , Tax credit , General equilibrium theory , Immigration']",University of Cyprus
113,Galyna Shul,https://www.lens.org/lens/orcid/0000-0001-5887-6302/scholar,1,100%,1,8,0,"['Activated carbon , Adsorption , Anthraquinone , Carbon , Electrochemistry , Electrode , Electrolyte , Inorganic chemistry , Materials science , Phenanthroline']",no current information
114,NIPER HYDERABAD,https://www.lens.org/lens/orcid/0000-0001-7521-1150/scholar,46,54%,20,"1,209",13,"['Chemistry , Dissolution , Materials science , Chromatography , Crystallography , Differential scanning calorimetry , Drug delivery , Chemical engineering , Crystallization , Drug']",no current information
115,Tim Dafforn,https://www.lens.org/lens/orcid/0000-0003-2257-6679/scholar,134,81%,51,"7,223",152,"['Chemistry , Biology , Biochemistry , Biophysics , Membrane , Linear dichroism , Circular dichroism , Protein structure , Crystallography , Membrane protein']",no current information
116,Matthew Hicks,https://www.lens.org/lens/orcid/0000-0002-9974-2228/scholar,2,50%,2,14,0,"['Clinical psychology , Psychology , Burnout , Clinical trial , Depersonalization , Emotional exhaustion , Empathy , Expectancy theory , Internship , Interpersonal Reactivity Index']",no current information
117,Mukesh Kumar,https://www.lens.org/lens/orcid/0000-0003-3167-377X/scholar,6,-,2,68,0,"['Agronomy , Chemistry , Horticulture , Biology , Nutrient management , Randomized block design , Abiotic component , Agroforestry , Alkali soil , Azotobacter']",Sardarkrushinagar Dantiwada Agricultural University
118,kota chaitanya sravanthi sravanthi,https://www.lens.org/lens/orcid/0000-0002-3634-8311/scholar,3,-,1,2,0,"['Biology , Medicine , Microbiology , Traditional medicine , Antibacterial activity , Antibiotic resistance , Antibiotics , Biotechnology , Business , Chloroxylon swietenia']",Sultan-ul-Uloom College of Pharmacy
119,Gladius Kulothungan,https://www.lens.org/lens/orcid/0000-0001-6159-3506/scholar,0,-,-,0,0,[''],University of Wales Trinity Saint David
120,Prithi Raguraman,https://www.lens.org/lens/orcid/0000-0001-6649-7898/scholar,1,100%,1,2,0,"['Alternative splicing , Antisense therapy , Biochemistry , Biology , Chemistry , DNA , Exon , Exon skipping , Gene , Locked nucleic acid']",no current information
121,Lakshmipathi Khandrika,https://www.lens.org/lens/orcid/0000-0003-4438-9073/scholar,18,50%,11,"1,531",18,"['Medicine , Biology , Cancer research , Cancer , Internal medicine , Pathology , Cancer cell , Cell culture , MAPK/ERK pathway , Prostate cancer']",no current information
122,Bhupendra Shravage,https://www.lens.org/lens/orcid/0000-0002-1329-8884/scholar,26,65%,11,"2,321",3,"['Biology , Cell biology , Autophagy , Programmed cell death , Apoptosis , Chemistry , Gene , Genetics , Germline , Caspase']",no current information
123,Birgit Voigt,https://www.lens.org/lens/orcid/0000-0003-4534-6315/scholar,13,92%,11,"1,003",53,"['Biology , Biochemistry , Bacillus licheniformis , Bacillus subtilis , Proteome , Microbiology , Bacillus pumilus , Bacteria , Gene , Proteomics']",Forschungsinstitut für Leder und Kunststoffbahnen
124,Sonja Lehmann,https://www.lens.org/lens/orcid/0000-0003-1931-6163/scholar,2,-,1,8,0,"['Medicine , Cancer , Engineering management , Extracorporeal , Gerontology , Human sexuality , Intervention (counseling) , Life support , Population , Psychosocial']",no current information
125,mariana mariana,https://www.lens.org/lens/orcid/0000-0003-2913-3360/scholar,1,-,1,2,0,"['Health education , Infertility , Intrauterine device , Medicine , Misinformation , Obstetrics , Reproductive health , Twin Pregnancy , Unintended pregnancy , Uterine malformation']",no current information
126,Gildas ASSOGBA,https://www.lens.org/lens/orcid/0000-0001-8153-9208/scholar,4,100%,2,23,0,"['Agroforestry , Biology , Ecology , Forestry , Geography , Agricultural economics , Agricultural science , Agriculture , Agronomy , Archaeology']",no current information
127,Fernanda Faulstich,https://www.lens.org/lens/orcid/0000-0002-6525-3020/scholar,1,-,-,0,0,"['Art , Humanities']",no current information
128,Fernanda Faulstich,https://www.lens.org/lens/orcid/0000-0002-6525-3020/scholar,1,-,-,0,0,"['Art , Humanities']",no current information
129,Thomas Hale Segall-Shapiro,https://www.lens.org/lens/orcid/0000-0001-9364-6537/scholar,15,60%,12,"2,884",195,"['Biology , Gene , Genetics , Genome , Computational biology , Promoter , Synthetic biology , Gene expression , Plasmid , Regulation of gene expression']",
130,Christopher Voigt,https://www.lens.org/lens/orcid/0000-0002-5269-1662/scholar,1,100%,1,9,0,"['Antibiotics , Bacteremia , Blood culture , Emergency department , Enterococcus faecium , Internal medicine , Klebsiella pneumoniae , Medicine , Population , Staphylococcus aureus']",Ready Responders inc.
131,Chen Jian,https://www.lens.org/lens/orcid/0000-0003-1788-7042/scholar,7,80%,3,55,0,"['Computer science , Psychology , Structural equation modeling , Advertising , Applied psychology , Business , Engineering , Risk perception , Survey data collection , Architectural engineering']",Chongqing Jiaotong University
132,Jingwen Zhou,https://www.lens.org/lens/orcid/0000-0002-5470-9424/scholar,1,100%,-,0,0,"['Bridge (interpersonal) , Computer science , Epicenter , Fragility , Rigid frame , Risk assessment , Seismic hazard , Serviceability (structure) , Span (engineering) , Structural engineering']",no current information
133,Fionna Shiong,https://www.lens.org/lens/orcid/0000-0002-0600-5254/scholar,1,100%,1,4,0,"['Asphalt , Asphalt concrete , Asphalt pavement , Axle , Compaction , Composite material , Coring , Drilling , Engineering , Environmental science']",no current information
134,Neil Desai,https://www.lens.org/lens/orcid/0000-0002-4391-1424/scholar,1,100%,1,2,0,"['Hospital medicine , Medical emergency , Medicine , Patient safety , Scope (project management) , Workload']",no current information
135,Yafeng Zhou,https://www.lens.org/lens/orcid/0000-0001-7968-1192/scholar,5,80%,4,48,2,"['Chemistry , Glucose dehydrogenase , Novosphingobium , Stereochemistry , Alcohol dehydrogenase , Dehydrogenase , Mutant , Reductase , Short-chain dehydrogenase , Alanine transaminase']",no current information
136,Lijun Bi,https://www.lens.org/lens/orcid/0000-0003-2213-6446/scholar,1,100%,1,1,0,"['Aesthetics , China , Class conflict , Moral development , Political radicalism , Pretext , Social change , Social movement , Sociology , Teaching method']",no current information
137,Zhou Ying,https://www.lens.org/lens/orcid/0000-0003-0043-8275/scholar,2,100%,1,2,0,"['Artificial intelligence , Center (category theory) , Cfd simulation , Computational fluid dynamics , Computer science , Constraint (computer-aided design) , Edge (geometry) , Engineering , Group (mathematics) , Interval (mathematics)']",no current information
138,Zhang Xiaoli,https://www.lens.org/lens/orcid/0000-0001-7393-0987/scholar,11,55%,10,433,3,"['Chemistry , In vitro , Traditional medicine , Biochemistry , Biology , Virus , Antioxidant , Ascorbic acid , Biflavonoids , Cytopathic effect']",Sun Yat-sen University
139,Er-Yen Yen,https://www.lens.org/lens/orcid/0000-0003-2918-5419/scholar,16,88%,6,396,0,"['Cancer research , Biology , Pancreatic cancer , KRAS , Medicine , Cancer , Carcinogenesis , Context (language use) , Immune system , Inflammation']",PhD
140,Nicole Prindle,https://www.lens.org/lens/orcid/0000-0002-7751-956X/scholar,1,100%,-,0,0,"['Algorithm , Combinatorics , Computer science , Correctness , Kernel (algebra) , Mathematics , Memory bandwidth , Parallel computing , Shared memory']",no current information
141,Jorge Samayoa,https://www.lens.org/lens/orcid/0000-0001-8134-1197/scholar,4,75%,1,2,0,"['Computer science , Context (language use) , Flexibility (engineering) , Functional requirement , Manufacturing engineering , Mass customization , Modularity , Product (category theory) , Product design , Quality (business)']",Universidad Galileo
142,hasty sayady,https://www.lens.org/lens/orcid/0000-0002-6863-0776/scholar,0,-,-,0,0,[''],"social science, PHD"
143,Kok Gan Chan,https://www.lens.org/lens/orcid/0000-0002-1883-1115/scholar,465,79%,55,"12,014",44,"['Biology , Microbiology , Genome , Bacteria , Quorum sensing , Genetics , Whole genome sequencing , Gene , Biochemistry , Strain (chemistry)']",Universiti Malaya
144,Ivy Wai-Yin Fong,https://www.lens.org/lens/orcid/0000-0003-1913-4300/scholar,5,80%,2,15,0,"['Political science , Psychology , Artificial intelligence , Business , Computer science , Law , Politics , Public relations , Sociology , Advertising']","School of Journalism and Communication, Ph.D. in Communication"
145,Chien-Yi Chang,https://www.lens.org/lens/orcid/0000-0003-3570-4019/scholar,48,87%,20,"1,445",16,"['Biology , Microbiology , Bacteria , Quorum sensing , Gene , Genetics , Biofilm , Genome , Group B , Whole genome sequencing']",Newcastle University
146,Simone Mantovani,https://www.lens.org/lens/orcid/0000-0003-3979-3645/scholar,6,75%,2,12,0,"['Environmental science , Computer science , Geography , Satellite , Aerosol , Aerospace engineering , Air quality index , Archaeology , Astronomy , Big data']",no current information
147,Lauren A. Monds,https://www.lens.org/lens/orcid/0000-0002-2592-7238/scholar,42,84%,13,500,0,"['Psychology , Medicine , Clinical psychology , Cognition , Social psychology , Psychiatry , Poison control , Alcohol intoxication , Criminology , Developmental psychology']",The University of Sydney
148,Matthew Lafave,https://www.lens.org/lens/orcid/0000-0001-9165-041X/scholar,25,88%,62%,,"1,703","['Biology , Genetics , Gene , CRISPR , Genome , Genomics , Zebrafish , Computational biology , Computer science , Genetic enhancement']",Bristol Myers Squibb
149,Robert Brown,https://www.lens.org/lens/orcid/0000-0003-0156-1777/scholar,7,100%,7,395,6,"['Chemistry , Stereochemistry , Amino acid , Conformational isomerism , Enantiomer , Enantioselective synthesis , Peptide , 2-Aminoisobutyric acid , Absolute configuration , Alanine']",no current information
150,Shah Khalid,https://www.lens.org/lens/orcid/0000-0003-2735-803X/scholar,11,91%,7,211,0,"['Psychology , Cognitive psychology , Social psychology , Subliminal stimuli , Congruence (geometry) , Priming (psychology) , Categorization , Embodied cognition , Facial expression , Response priming']",no current information
151,Wen Shan Yew,https://www.lens.org/lens/orcid/0000-0002-3021-0469/scholar,25,88%,7,124,11,"['Biology , Chemistry , Biochemistry , Computational biology , Enzyme , Gene , Cannabinoid , Computer science , Engineering , Synthetic biology']",no current information
152,Maybelle Darlene Kho Go,https://www.lens.org/lens/orcid/0000-0003-3894-2661/scholar,2,100%,2,12,0,"['Biology , Cannabinoid , Computational biology , Biochemistry , Cannabis sativa , Catalysis , Drug discovery , Enzyme , Gene , Metabolic engineering']",National University of Singapore
153,Ting ting Lu,https://www.lens.org/lens/orcid/0000-0002-1773-9878/scholar,1,100%,1,3,0,"['Cancer research , Cell cycle , Gene expression profiling , Immune checkpoint , Immune system , Immunotherapy , Medicine , Protein kinase A , T cell , Tumor progression']","The First Clinical Medical College of Wenzhou Medical University, Wenzhou, China"
154,Rashmi Gupta/ Rashmi,https://www.lens.org/lens/orcid/0000-0001-9056-3242/scholar,6,50%,5,83,1,"['Medicine , Focal adhesion , Phosphorylation , Chemistry , Internal medicine , Wound healing , Allosteric regulation , Aspirin , Biochemistry , Biology']",University of Maryland at College Park Department of Biology
155,Timur Zinov,https://www.lens.org/lens/orcid/0000-0001-5641-1114/scholar,0,-,-,0,0,[''],no current information
156,Yemima Ehrnst,https://www.lens.org/lens/orcid/0000-0002-9516-9778/scholar,5,80%,3,33,1,"['Materials science , Chemistry , Electrode , Nanotechnology , Physical chemistry , Biochemistry , Chemical physics , Electrochemistry , Metal , Metal-organic framework']",no current information
157,Gottfrid Sjödahl,https://www.lens.org/lens/orcid/0000-0002-7869-0473/scholar,31,84%,14,"1,831",16,"['Bladder cancer , Medicine , Biology , Cancer research , Internal medicine , Cancer , Genetics , Gene , Immunohistochemistry , Oncology']",no current information
158,Eugenio Bitti,https://www.lens.org/lens/orcid/0000-0002-9666-4252/scholar,1,-,1,4,0,"['Agency cost , Business , Incentive , Industrial organization , Panel data , Principal–agent problem , Resource scarcity , Scarcity , Socioeconomic status , Statistical dispersion']",University of Sao Paulo
159,RAJKUMAR DANIEL B,https://www.lens.org/lens/orcid/0000-0001-6212-0938/scholar,0,-,-,0,0,[''],Corporation Bank
160,Justin Reese,https://www.lens.org/lens/orcid/0000-0002-2170-2250/scholar,17,100%,6,251,0,"['Computer science , Medicine , Coronavirus disease 2019 (COVID-19) , Data science , Internal medicine , Cartography , Disease , Geography , Scale (ratio) , Artificial intelligence']",Lawrence Berkeley National Laboratory
161,Majed Alzahrani,https://www.lens.org/lens/orcid/0000-0002-4450-1259/scholar,7,67%,4,131,2,"['Computer science , Artificial intelligence , Biology , Ecology , Hologenome theory of evolution , Image (mathematics) , Microbiome , Affine hull , Aggregate (data warehouse) , Amplifier']",Saudi Aramco
162,Ta Wen Kuan,https://www.lens.org/lens/orcid/0000-0002-0789-3716/scholar,1,100%,-,0,0,"['Activity recognition , Artificial intelligence , Biochemistry , Chemistry , Codebook , Computer science , Computer vision , Confusion matrix , Gene , Hidden Markov model']",no current information
163,Hojjat Farzadfard,https://www.lens.org/lens/orcid/0000-0001-7981-3562/scholar,15,14%,4,37,0,"['Mathematics , Combinatorics , Fixed point , Discrete mathematics , Group (mathematics) , Homeomorphism , Interval (graph theory) , Pure mathematics , Disjoint sets , Poincaré conjecture']","Department of Mathematics, Shiraz Branch, Islamic Azad University"
164,Elizabeth Reetz,https://www.lens.org/lens/orcid/0000-0001-9938-8241/scholar,2,-,1,14,0,"['Archaeology , Archaeology of the Americas , Art , Collaborative learning , Computer science , Environmental education , Event (particle physics) , History , Humanities , Indigenous']",University of Iowa
